,Week,Rank,Fantasy
1187,12,27,16.9
1188,13,30,18.8
1189,14,29,23.2
1190,15,2,32.5
1191,16,20,11.3
1192,1,10,11.4
1193,2,6,16.7
1194,3,11,19.7
1195,4,29,16.2
1196,5,30,18.7
1197,6,31,33.9
1198,7,32,26.7
1199,8,17,17.3
1200,9,32,20.8
1201,10,22,22.7
1202,11,3,12.4
1203,12,29,18.4
1204,13,6,15.4
1205,14,13,10.5
1206,15,7,5.5
1207,1,26,18.2
1208,3,13,6.5
1209,4,31,20.3
1210,5,12,6.9
1211,6,4,15
1212,8,30,10.3
1213,9,19,28.6
1214,10,27,13.4
1215,11,7,17.8
1216,12,12,12.4
1217,13,27,25.5
1218,14,16,36.9
1219,16,25,32.3
1220,1,1,12.1
1221,2,12,7.7
1222,3,7,10.8
1223,4,4,13
1224,5,16,12.8
1225,6,30,29.3
1226,7,14,2.2
1227,8,27,13.5
1228,9,8,23.3
1229,10,25,4.6
1230,11,13,11
1231,12,31,25.7
1232,13,26,18.1
1233,14,12,11.6
1234,15,14,22.48
1235,16,27,23.7
1236,1,12,13.2
1237,2,4,17.2
1238,3,14,43.04
1239,4,17,28.8
1240,5,3,19
1241,6,25,34.06
1242,7,27,3.3
1243,8,16,13.88
1244,9,23,39.3
1245,10,24,14.9
1246,12,25,11
1247,13,15,7.5
1248,14,2,8.5
1249,15,16,6.5
1250,16,4,15.6
1251,1,11,19.8
1252,2,19,9.3
1253,3,1,8.2
1254,4,32,8.8
1255,5,6,8.3
1256,6,29,14.3
1257,7,3,6.6
1258,8,20,7.2
1259,9,10,17.2
1260,10,2,20.5
1261,11,10,23.9
1262,12,3,22.3
1263,13,11,24
1264,14,21,25.1
1265,15,24,9.6
1266,16,16,1.7
1267,1,23,24.1
1268,2,25,10.1
1269,3,4,-0.7
1270,4,27,1.4
1271,6,15,17.9
1272,7,13,8.3
1273,8,25,27.5
1274,9,24,17.8
1275,10,32,33.7
1276,11,17,21.2
1277,12,4,26.9
1278,13,12,35.1
1279,14,14,30.4
1280,15,13,29.9
1281,16,22,38.2
1282,1,32,13.2
1283,2,8,3.3
1284,3,18,20
1285,5,15,15.1
1286,6,23,22.7
1287,7,25,8.6
1288,8,17,15.7
1289,9,16,4.6
1290,10,13,4.1
1291,11,5,5.3
1292,12,15,9.9
1293,13,17,0.8
1294,14,4,11
1295,15,22,6.6
1296,16,23,13.5
1297,2,21,27.8
1298,3,22,17.4
1299,4,11,14.2
1300,5,19,19.5
1301,6,10,13.4
1302,7,21,7.7
1303,10,5,8.7
1304,11,8,12.2
1305,12,20,9.3
1306,13,3,15.5
1307,14,18,15.4
1308,15,20,16.6
1309,16,19,6.2
1310,1,22,10
1311,2,20,7.9
1312,3,2,10.8
1313,4,1,9.3
1314,5,10,5.3
1315,6,21,10.9
1316,7,32,7.9
1317,8,29,18.9
1318,9,3,18.3
1319,10,15,22.9
1320,11,19,11.9
1321,12,6,8.8
1322,13,22,7.8
1323,14,25,8.4
1324,15,3,6.5
1325,16,10,4.5
1326,1,27,11.7
1327,2,7,5.4
1328,3,24,10.2
1329,4,19,19.3
1330,5,17,10.6
1331,7,23,16.1
1332,8,15,17.1
1333,9,20,16.8
1334,10,8,10.2
1335,11,21,11.6
1336,12,5,8.6
1337,14,1,9
1338,15,8,6.4
1339,16,5,3.9
1340,1,17,11
1341,2,16,15.1
1342,3,27,13.2
1343,4,12,20.8
1344,5,13,21.4
1345,6,24,34.2
1346,7,29,19.6
1347,8,16,13.8
1348,9,4,10.8
1349,11,15,26.4
1350,12,13,4.5
1351,13,23,7.9
1352,14,11,17.2
1353,1,2,5.2
1354,2,29,2.1
1355,3,23,12.1
1356,4,21,17.2
1357,5,11,7
1358,6,1,4
1359,7,3,4.1
1360,8,22,4.9
1361,9,6,5.7
1362,10,3,0.8
1363,11,22,20.9
1364,12,32,2
1365,14,20,17.4
1366,15,19,8.5
1367,16,11,11.8
1368,1,29,26.9
1369,2,32,17.1
1370,3,17,4.9
1371,4,13,4
1372,5,6,5.5
1373,6,22,19.1
1374,7,10,8.1
1375,8,20,2.3
1376,10,10,14.1
1377,11,2,6.6
1378,12,22,8.2
1379,13,1,11.3
1380,14,19,9.7
1381,15,11,19
1382,16,21,15.2
1383,1,30,7.3
1384,2,26,16.9
1385,3,29,5.4
1386,4,14,15.9
1387,5,7,19.9
1388,6,2,16.7
1389,8,6,26
1390,9,7,11.5
1391,10,26,0.2
1392,11,32,17.2
1393,13,19,6.7
1394,14,27,8.2
1395,15,30,10.9
1396,1,15,0.5
1397,2,13,7
1398,3,16,15.8
1399,4,6,14.2
1400,6,17,11.7
1401,7,14,18
1402,8,27,20.2
1403,9,25,12.5
1404,10,23,30.9
1405,11,12,1.7
1406,12,16,22.3
1407,13,10,2.1
1408,14,24,22.1
1409,15,25,12.6
1410,1,16,7.7
1411,2,15,7.8
1412,3,6,7.1
1413,4,10,4.5
1414,5,8,17.9
1415,6,24,21.1
1416,7,18,11.4
1417,8,13,13.2
1418,9,5,6.1
1419,10,4,1.1
1420,12,17,5.5
1421,1,25,21.3
1422,2,5,3.6
1423,3,3,20.4
1424,4,13,14.6
1425,5,18,11.9
1426,7,24,19.2
1427,8,2,4.9
1428,9,15,14.4
1429,12,23,19.1
1430,13,24,18.3
1431,14,8,19.7
1432,2,17,6
1433,3,15,7.5
1434,4,20,9.3
1435,5,26,6.9
1436,7,19,5.9
1437,8,8,3.9
1438,9,23,6.3
1439,10,1,6.1
1440,11,24,9.8
1441,12,18,30
1442,13,8,4.8
1443,15,12,8.1
1444,16,18,22.5
1445,1,7,9
1446,2,2,9.9
1447,3,23,15.8
1448,4,4,2.7
1449,5,22,13.2
1450,7,31,22.4
1451,8,32,6.3
1452,10,29,1.9
1453,13,2,7.4
1454,14,30,17.2
1455,2,17,25.7
1456,3,15,5.2
1457,4,20,19.2
1458,5,26,10.6
1459,6,21,2.7
1460,7,19,16.7
1461,8,8,16.9
1462,9,23,14.1
1463,10,1,0.6
1464,11,24,2.5
1465,12,18,0.8
1466,13,8,2.3
1467,1,31,7.9
1468,2,27,6.5
1469,3,12,9.3
1470,4,26,5.5
1471,5,2,12.8
1472,7,8,12.2
1473,8,14,4.5
1474,9,1,6.3
1475,10,7,3.8
1476,11,29,11.7
1477,13,7,6.3
1478,1,15,6
1479,2,13,4.7
1480,3,16,6.6
1481,4,6,25.2
1482,6,17,6.1
1483,7,14,22.7
1484,8,27,3.9
1485,9,25,4
1486,10,23,4.7
1487,11,12,7.9
1488,12,16,5.8
1489,13,10,8.3
1490,14,24,23.2
1491,5,8,3
1492,6,16,8.2
1493,8,18,3.2
1494,9,17,8.3
1495,10,11,15.5
1496,11,25,13.8
1497,12,24,0.8
1498,13,13,13.4
1499,14,23,23.5
1500,15,29,16.8
1501,1,5,0.2
1502,2,14,1.5
1503,3,19,2.2
1504,4,24,0.1
1505,5,20,4
1506,6,18,18.8
1507,7,31,7
1508,8,15,3.3
1509,9,1,9.7
1510,10,17,3.2
1511,11,23,4.5
1512,12,8,5
1513,13,18,13.2
1514,14,5,2.5
1515,15,21,3.8
1516,16,8,5.5
1517,1,14,1.5
1518,2,31,9.3
1519,3,7,5.7
1520,4,30,7.4
1521,5,5,2.8
1522,6,29,4.2
1523,7,12,6.9
1524,8,7,2.4
1525,9,21,-1
1526,10,31,3.1
1527,11,6,5.4
1528,14,32,4.2
1529,15,27,4.2
1530,16,2,7.6
1531,1,17,14.8
1532,2,9,14.7
1533,3,32,26.2
1534,4,29,18.2
1535,5,11,9.2
1536,6,7,28.1
1537,7,19,42.1
1538,8,28,23.2
1539,9,5,14.9
1540,10,18,27.4
1541,11,9,22.3
1542,12,22,13.6
1543,13,1,12.4
1544,14,7,9.3
1545,15,18,19.5
1546,16,4,34
1547,1,18,20.9
1548,2,31,24.2
1549,3,1,10.5
1550,4,11,7
1551,5,32,37.5
1552,6,12,21.84
1553,7,28,42
1554,8,22,37.2
1555,9,17,39.8
1556,10,9,41.9
1557,11,18,28.16
1558,12,10,31.2
1559,13,9,29.2
1560,14,12,32.4
1561,15,19,13.3
1562,16,29,8
1563,1,9,14
1564,2,32,12.4
1565,3,29,12.1
1566,4,30,20.6
1567,5,25,11.8
1568,6,19,15.6
1569,7,7,19.9
1570,8,12,25.9
1571,9,19,19.3
1572,10,8,5.7
1573,11,32,25.2
1574,12,29,16.5
1575,13,3,25.9
1576,14,18,24.7
1577,16,14,40.6
1578,1,12,16.3
1579,2,22,26.8
1580,3,11,5.7
1581,4,2,15.1
1582,5,21,5.2
1583,6,8,10.5
1584,7,15,11.4
1585,8,1,14
1586,9,7,14.9
1587,11,22,12.4
1588,12,1,6.4
1589,13,18,22.2
1590,14,23,15.6
1591,15,9,18
1592,16,11,5
1593,1,32,14.6
1594,2,19,9.7
1595,3,28,15.9
1596,4,15,7.2
1597,5,12,11.5
1598,6,3,4.2
1599,7,18,3.8
1600,8,25,16.9
1601,9,20,5.9
1602,10,30,11.2
1603,11,14,0.5
1604,12,28,11.5
1605,13,19,18.1
1606,14,9,13.2
1607,15,32,10.8
1608,16,7,12.6
1609,1,5,12.8
1610,2,4,2.6
1611,3,17,26.6
1612,4,7,14.3
1613,5,12,19.8
1614,6,15,2.7
1615,7,18,17.1
1616,8,9,25.7
1617,10,22,18.3
1618,11,1,3.7
1619,12,21,8.6
1620,13,22,26.3
1621,14,8,19.2
1622,15,1,0.9
1623,16,17,24.5
1624,1,23,17.1
1625,2,16,10.8
1626,3,19,7.8
1627,5,15,22.7
1628,6,20,12.6
1629,7,21,8.8
1630,8,26,21.5
1631,9,3,15.7
1632,10,4,4
1633,11,31,11.2
1634,12,20,14.3
1635,13,8,11.8
1636,14,16,16.4
1637,1,21,13.8
1638,2,18,7
1639,3,22,8.6
1640,4,7,3.4
1641,5,9,4.4
1642,6,8,5
1643,8,17,14.7
1644,9,31,5
1645,10,15,28.8
1646,11,11,13
1647,12,17,8.7
1648,13,12,14.1
1649,14,22,15.4
1650,15,11,15.8
1651,16,10,8.1
1652,1,29,27
1653,2,28,17.7
1654,3,16,5.4
1655,4,12,5.9
1656,5,18,17.2
1657,6,7,9
1658,7,3,12
1659,8,14,7.7
1660,9,30,23.3
1661,10,19,21.8
1662,11,28,22.5
1663,13,25,22.8
1664,14,19,23.8
1665,15,29,20.6
1666,16,9,18.5
1667,1,25,6.14
1668,2,30,6.6
1669,3,14,6.5
1670,4,19,22.7
1671,5,10,12.3
1672,6,29,5.7
1673,7,32,19.4
1674,8,5,9.3
1675,9,24,16.3
1676,10,6,12.2
1677,11,2,9.7
1678,12,14,3.2
1679,13,28,16.2
1680,14,21,14.4
1681,15,30,7.2
1682,16,25,2.4
1683,1,8,14.2
1684,2,21,13.4
1685,4,29,6.5
1686,5,24,20.6
1687,6,11,12.9
1688,7,17,7.3
1689,8,30,13.1
1690,9,22,10.8
1691,10,1,5.7
1692,13,21,7.2
1693,14,20,7.5
1694,15,8,3.8
1695,16,16,13.5
1696,1,6,16.4
1697,3,5,7
1698,5,23,13.3
1699,7,26,2.9
1700,8,4,6.7
1701,9,1,16.7
1702,10,16,21.1
1703,11,24,3.1
1704,12,23,10.2
1705,13,26,21.5
1706,14,4,3.9
1707,15,10,13.5
1708,16,2,10.5
1709,1,3,13.2
1710,3,30,17.1
1711,6,5,17.8
1712,7,29,25.3
1713,8,10,13
1714,9,14,5.5
1715,10,2,2.8
1716,11,19,14.3
1717,12,6,14
1718,13,32,15
1719,14,30,12.3
1720,15,14,6.9
1721,16,3,11
1722,1,2,9.4
1723,2,5,9.7
1724,3,6,15.3
1725,4,14,14.2
1726,5,3,6.5
1727,6,30,8
1728,7,2,12
1729,8,25,1.5
1730,11,4,19.1
1731,12,7,8.7
1732,13,6,18.5
1733,14,5,5.9
1734,15,31,17.5
1735,16,1,0.3
1736,1,30,3.2
1737,2,29,15.8
1738,3,24,11.9
1739,10,32,3.9
1740,11,25,20.1
1741,12,9,15.2
1742,13,29,6.2
1743,14,32,13.3
1744,15,7,26.2
1745,16,21,14.6
1746,1,14,5.3
1747,2,20,9.7
1748,3,26,21.1
1749,4,4,4.1
1750,5,24,1.7
1751,6,31,1.6
1752,7,23,9.3
1753,8,20,3.8
1754,9,16,9.1
1755,10,21,4.6
1756,11,8,10.8
1757,12,15,23.3
1758,13,16,18.5
1759,15,28,26.4
1760,16,24,18.4
1761,1,22,7
1762,2,25,19.1
1763,3,15,9.4
1764,4,8,10.7
1765,5,21,19.1
1766,6,16,10
1767,7,1,1.9
1768,8,21,10.4
1769,9,11,17.8
1770,10,17,6.9
1771,11,15,19.6
1772,12,32,14
1773,13,20,12.6
1774,15,24,18.2
1775,1,26,19.2
1776,2,24,16.4
1777,3,32,34.4
1778,5,20,12.6
1779,7,21,27.4
1780,8,4,10.6
1781,10,31,14.8
1782,11,23,23
1783,12,8,18.4
1784,14,24,25.7
1785,15,20,12.8
1786,16,15,3.2
1787,1,28,8.3
1788,2,12,7.6
1789,3,2,14.2
1790,4,1,7.9
1791,5,18,15.4
1792,6,22,18.6
1793,7,23,2.7
1794,9,18,3.5
1795,12,19,14.1
1796,13,7,13.1
1797,14,29,2.1
1798,15,17,3
1799,16,32,5.5
1800,1,20,17.5
1801,2,11,12.1
1802,3,23,7.3
1803,5,6,20.3
1804,6,26,8.3
1805,7,16,16.5
1806,8,31,7.9
1807,9,26,13.4
1808,10,24,13.5
1809,11,10,10.1
1810,12,5,7.6
1811,13,23,19.1
1812,14,31,3.7
1813,16,12,11.2
1814,1,15,7.4
1815,2,14,4.3
1816,3,21,6.9
1817,5,22,11.8
1818,6,1,5
1819,7,17,7.9
1820,8,20,14.1
1821,9,21,5.7
1822,10,28,6.3
1823,13,24,2.6
1824,14,11,4.7
1825,15,15,10.7
1826,2,17,12.2
1827,4,18,10.4
1828,5,8,6.8
1829,6,9,4
1830,7,6,19.2
1831,8,7,3.6
1832,9,15,9.4
1833,11,17,0.9
1834,12,12,17.8
1835,13,11,2.9
1836,14,1,3.1
1837,15,21,9.2
1838,16,26,6.5
1839,1,10,9.5
1840,2,6,14
1841,3,9,1.6
1842,4,17,12.7
1843,5,5,4.5
1844,6,10,16.7
1845,7,14,3.2
1846,8,23,15.3
1847,9,6,10.3
1848,10,25,9.1
1849,11,3,2.3
1850,12,30,21
1851,13,5,8
1852,14,26,8.1
1853,15,4,9
1854,16,31,24.6
1855,1,24,10.3
1856,2,26,11.9
1857,3,4,4.8
1858,4,6,13.5
1859,5,31,9
1860,7,9,4.3
1861,8,2,1.3
1862,9,10,7.2
1863,10,20,5
1864,11,16,8.9
1865,12,31,12.8
1866,13,4,8.9
1867,14,17,7.8
1868,15,26,0.1
1869,16,5,4.2
1870,1,7,3.5
1871,2,1,0.1
1872,3,22,5.4
1873,4,32,6.8
1874,5,9,1.1
1875,6,29,6.6
1876,7,11,5.5
1877,8,19,1.5
1878,9,9,6.4
1879,10,12,4.8
1880,11,7,11.8
1881,12,26,3.9
1882,13,17,5.3
1883,14,28,9.7
1884,15,12,8.8
1885,1,30,15.8
1886,2,9,13.6
1887,3,17,15.7
1888,4,32,7.1
1889,5,7,6.9
1890,6,27,17.7
1891,7,4,8.1
1892,8,19,25.6
1893,9,9,15.7
1894,10,13,4.5
1895,11,3,6.1
1896,12,18,12
1897,13,16,12.2
1898,14,17,18.6
1899,15,12,23
1900,16,13,23.1
1901,1,20,17.2
1902,2,6,21
1903,3,23,6.7
1904,4,2,14.4
1905,5,31,9.7
1906,6,15,13.8
1907,8,3,7.5
1908,9,32,7.8
1909,10,24,12.1
1910,11,20,8.9
1911,12,21,11.4
1912,13,6,7
1913,15,29,9.7
1914,16,31,19.6
1915,1,21,8.7
1916,2,18,19.3
1917,3,20,14.2
1918,4,27,6.6
1919,5,6,10.2
1920,6,28,12.7
1921,7,24,19.4
1922,8,23,5.9
1923,9,21,11.3
1924,10,19,5.2
1925,11,30,8.9
1926,12,24,6.1
1927,13,4,14.7
1928,14,10,10.9
1929,1,16,18.28
1930,2,4,5.8
1931,3,7,15.5
1932,4,14,21.4
1933,5,28,14
1934,6,26,45.4
1935,7,22,9.1
1936,8,12,13.7
1937,9,1,15.7
1938,10,10,21.5
1939,11,23,12.2
1940,12,14,31.7
1941,13,8,29.3
1942,14,32,24.3
1943,15,28,17.4
1944,16,26,12.3
1945,1,4,4.8
1946,2,23,8.7
1947,3,30,11.1
1948,4,18,5.5
1949,5,17,5
1950,6,9,14.1
1951,7,24,6.7
1952,8,18,10.4
1953,10,2,12.4
1954,11,13,5.7
1955,12,30,16
1956,13,21,11.9
1957,14,4,3.2
1958,15,8,6.3
1959,16,14,17.3
1960,1,2,2.6
1961,2,24,27.6
1962,3,26,7.8
1963,4,23,12.4
1964,5,4,1.1
1965,7,31,6.1
1966,8,6,34.4
1967,9,2,2.3
1968,10,23,18.2
1969,11,22,20.7
1970,12,27,14.6
1971,13,19,25.7
1972,14,18,17.4
1973,15,24,13.4
1974,16,20,12.9
1975,1,24,11.1
1976,2,19,16.3
1977,3,27,12.1
1978,4,21,13.6
1979,5,20,13.6
1980,6,31,13
1981,7,18,17.5
1982,8,2,10.2
1983,9,24,11
1984,10,21,18.6
1985,11,5,12.1
1986,12,4,21.9
1987,13,1,3.2
1988,14,30,10.6
1989,15,6,1
1990,1,28,15.9
1991,2,2,8.5
1992,3,4,14
1993,4,19,13.9
1994,5,13,9.8
1995,6,23,15.8
1996,7,19,8.7
1997,8,24,26.32
1998,9,30,16.5
1999,13,30,8.7
2000,14,21,8.2
2001,15,17,17.2
2002,16,9,12.7
2003,1,7,13.1
2004,3,32,40.1
2005,5,19,15.6
2006,6,16,11.9
2007,7,12,21.2
2008,8,13,21.5
2009,10,30,14.8
2010,11,4,15.2
2011,12,6,19.9
2012,13,17,19.4
2013,14,13,14.4
2014,16,18,9.9
2015,2,8,14.7
2016,3,22,21.1
2017,4,28,20.6
2018,6,10,10.7
2019,7,15,28.9
2020,8,4,28.6
2021,9,5,7.2
2022,10,14,16.6
2023,11,29,11.8
2024,12,10,6.7
2025,13,23,26.1
2026,14,26,9.7
2027,15,22,9.1
2028,16,8,3.5
2029,1,27,13.6
2030,2,31,20.5
2031,3,2,5.1
2032,4,6,10.1
2033,5,23,7.5
2034,6,17,11.1
2035,9,6,7.9
2036,10,31,6.3
2037,11,27,33.4
2038,12,15,11.1
2039,13,12,7.7
2040,14,24,14.7
2041,15,3,19.2
2042,16,21,11.5
2043,1,31,8.1
2044,2,22,3.1
2045,3,29,25.5
2046,4,3,6.1
2047,6,27,4.9
2048,7,1,12.7
2049,8,8,6.9
2050,9,29,6.4
2051,10,7,10.8
2052,12,20,15.3
2053,13,10,2.9
2054,14,6,4.7
2055,15,13,1.7
2056,16,3,5.7
2057,1,5,1.8
2058,2,14,3.2
2059,3,13,2.4
2060,4,32,3.7
2061,5,7,4.4
2062,6,12,3.9
2063,7,9,5.4
2064,8,32,5.2
2065,9,26,2
2066,10,6,7.6
2067,11,28,14.6
2068,12,17,14.9
2069,14,12,7.7
2070,15,7,17.8
2071,1,15,2.1
2072,2,20,9.6
2073,3,3,13.3
2074,8,21,11
2075,10,20,11.2
2076,11,6,16.5
2077,12,29,22.7
2078,13,24,11.7
2079,14,7,23
2080,15,2,16.6
2081,16,27,5.6
2082,1,12,8.1
2083,2,10,11.4
2084,3,15,4.8
2085,4,22,7.1
2086,5,8,3.9
2087,6,17,2.8
2088,8,20,16
2089,9,15,20
2090,10,3,7.2
2091,11,1,8
2092,12,31,4
2093,14,3,1.9
2094,15,27,2.3
2095,16,6,14
2096,1,8,1.6
2097,2,29,6.7
2098,3,28,8.4
2099,4,14,6
2100,5,22,8.8
2101,6,1,5.3
2102,7,3,6.8
2103,9,8,10.5
2104,10,5,8.5
2105,11,18,17.8
2106,12,1,10.4
2107,13,15,19.6
2108,14,2,20.7
2109,15,26,17.1
2110,1,32,1.9
2111,2,28,1.3
2112,3,21,5.7
2113,4,30,17.9
2114,5,5,2.6
2115,6,14,2
2116,7,8,9.7
2117,8,22,17.9
2118,9,16,8.4
2119,10,12,8.9
2120,11,14,21.7
2121,12,28,22.4
2122,13,7,5.7
2123,14,1,15.6
2124,1,6,0
2125,3,31,19.5
2126,4,15,11.6
2127,5,1,2.9
2128,6,8,4.6
2129,7,32,19.1
2130,8,10,7.4
2131,9,27,19.7
2132,10,29,16.8
2133,13,22,22.6
2134,14,29,17.9
2135,15,20,3.2
2136,1,3,17.7
2137,2,27,13.5
2138,3,24,10.8
2139,4,20,8.3
2140,5,2,3.2
2141,7,31,6.5
2142,8,21,3.3
2143,12,9,12.5
2144,13,27,3.8
2145,14,15,2.3
2146,15,23,14.7
2147,16,29,9.1
2148,1,13,2.6
2149,5,19,14
2150,6,29,8.8
2151,7,20,18.3
2152,8,30,13.7
2153,9,13,10.5
2154,10,32,14.3
2155,13,9,4.1
2156,15,18,26.9
2157,16,4,17.1
2158,1,5,3.3
2159,2,14,11
2160,3,13,9.4
2161,4,32,7.4
2162,5,7,12.9
2163,6,12,8.5
2164,7,9,6.5
2165,8,32,6
2166,9,26,15.3
2167,10,6,14.7
2168,11,28,4.7
2169,1,14,3.3
2170,2,15,5.4
2171,4,29,7.4
2172,5,30,10.5
2173,7,8,1
2174,8,5,4.5
2175,9,26,18.2
2176,11,21,8.5
2177,12,8,17.1
2178,13,3,3.2
2179,14,28,13.1
2180,16,10,20.8
2181,2,17,2.1
2182,3,5,0.7
2183,4,12,1.8
2184,5,16,0.7
2185,7,28,9.2
2186,8,14,19.9
2187,9,12,9
2188,10,15,19.2
2189,11,32,21.8
2190,12,13,22.2
2191,13,26,9.8
2192,14,31,16.9
2193,15,16,11.7
2194,1,19,7.2
2195,2,5,7.7
2196,3,18,10.3
2197,7,30,3.1
2198,9,1,5.9
2199,10,18,7.9
2200,11,9,9.1
2201,12,23,12.3
2202,13,2,1.8
2203,14,19,16.4
2204,15,30,21.6
2205,16,17,18.6
2206,1,23,0.1
2207,2,21,12.1
2208,3,6,6.3
2209,4,4,8.2
2210,5,14,33.7
2211,6,19,9.4
2212,7,2,10.1
2213,8,18,4.9
2214,9,23,9.5
2215,10,27,10.9
2216,11,8,2.3
2217,12,2,5.8
2218,13,31,5.4
2219,14,20,19
2220,15,21,14
2221,1,23,7.6
2222,2,21,19.1
2223,3,6,4.2
2224,5,14,0.8
2225,8,18,1.7
2226,9,23,4.8
2227,10,27,2.7
2228,11,8,14.8
2229,12,2,9.4
2230,13,31,15.3
2231,14,20,2.3
2232,1,18,18.3
2233,2,26,13.6
2234,3,10,9.5
2235,4,1,13.1
2236,5,5,6.5
2237,6,2,5.1
2238,8,32,4.4
2239,12,26,14.9
2240,13,14,8.4
2241,14,22,2.7
2242,15,5,1.1
2243,1,22,8.7
2244,2,16,8.7
2245,3,12,3.7
2246,4,5,14.8
2247,5,10,1.5
2248,6,24,18.3
2249,7,26,19.3
2250,8,7,21.5
2251,1,32,34.6
2252,2,10,4.8
2253,3,29,28.4
2254,4,12,5.5
2255,5,22,18.1
2256,6,16,5.4
2257,7,4,5.8
2258,8,24,13.9
2259,10,30,20.1
2260,11,12,35.7
2261,12,15,10
2262,14,10,24.2
2263,15,13,13
2264,16,31,24.8
2265,1,7,1.7
2266,3,10,3.4
2267,4,4,0.5
2268,5,32,1.9
2269,6,11,2.3
2270,7,13,0.2
2271,8,32,4.5
2272,9,2,14.5
2273,1,5,8.4
2274,3,28,14.7
2275,4,20,13.5
2276,5,4,21.8
2277,6,31,26.3
2278,7,17,22.3
2279,8,32,13.2
2280,9,1,12.4
2281,10,20,7.4
2282,11,25,15.9
2283,12,5,3.7
2284,13,3,2.6
2285,14,19,8.3
2286,15,4,14.1
2287,16,23,12
2288,1,7,20.1
2289,2,12,11.3
2290,3,10,21.5
2291,4,4,8.5
2292,5,32,18.1
2293,6,11,17
2294,7,13,13.3
2295,8,32,13.1
2296,9,2,18.6
2297,10,22,10.4
2298,11,31,24.6
